UF,Municipio,Mes/Ano de Referencia,Nome do Produto,Categoria,Preco Atual (R$),Preco Referencia Baseline (R$),Status do Semafaro (Cor),Previsao IA (Tendencia Futura),Usa Dado Fallback?,Usa Dado Interpolado?
SP,RIBEIRÃO BRANCO-SP,2025-09,TOMATE - NÃO INFORMADO,LEGUMES,2.2200,2.5257,AMARELO,,Nao,Nao
SP,RIBEIRÃO BRANCO-SP,2025-08,TOMATE - NÃO INFORMADO,LEGUMES,2.3000,2.5257,AMARELO,,Nao,Nao
SP,,2026-05,Tomate Caqui,LEGUMES,94.0210,94.1199,AMARELO,,Nao,Nao
SP,,2026-04,Tomate Caqui,LEGUMES,94.0210,94.1199,AMARELO,,Nao,Nao
SP,,2026-03,Tomate Caqui,LEGUMES,94.0210,94.1199,AMARELO,,Nao,Nao
SP,,2026-02,Tomate Caqui,LEGUMES,94.0210,94.1199,AMARELO,,Nao,Nao
SP,,2026-01,Tomate Caqui,LEGUMES,94.0210,94.1199,AMARELO,,Nao,Nao
SP,,2025-12,Tomate Caqui,LEGUMES,94.0210,94.1199,AMARELO,,Nao,Nao
SP,,2025-11,Tomate Caqui,LEGUMES,94.0210,94.1199,AMARELO,,Nao,Nao
SP,,2025-10,Tomate Caqui,LEGUMES,94.0210,94.1199,AMARELO,,Nao,Nao
SP,,2025-09,Tomate Caqui,LEGUMES,94.0210,94.1199,AMARELO,,Nao,Nao
SP,,2025-08,Tomate Caqui,LEGUMES,94.0210,94.1199,AMARELO,,Nao,Nao
SP,,2025-07,Tomate Caqui,LEGUMES,94.0210,94.1199,AMARELO,,Nao,Nao
SP,,2025-06,Tomate Caqui,LEGUMES,94.0210,94.1199,AMARELO,,Nao,Nao
SP,,2025-05,Tomate Caqui,LEGUMES,94.0210,94.1199,AMARELO,,Nao,Nao
SP,,2025-04,Tomate Caqui,LEGUMES,94.0210,94.1199,AMARELO,,Nao,Nao
SP,,2025-03,Tomate Caqui,LEGUMES,95.2075,94.1199,AMARELO,,Nao,Nao
