ID Produto,Categoria,Nome do Produto,UF,Municipio,Mes/Ano Referencia,Preco Atual (R$),Preco Referencia (Baseline - R$),Divergencia Matematica (%),Status do Semafaro (Cor no DB),Previsao IA (Tendencia Futura),Usa Dado Fallback?,Usa Dado Interpolado?
832,ALIMENTO_VAREJO,FLOCOS DE MILHO - PRE-COZIDO,TO,,2025-09,11.9800,11.9457,0.29,AMARELO,,Nao,Nao
792,ALIMENTO_VAREJO,OLEO DE SOJA - REFINADO,PR,,2025-10,8.4600,8.3300,1.56,AMARELO,,Nao,Nao
858,PROTEINAS,CARNE BOVINA - COXÃO DURO S/OSSO,GO,GOIÂNIA-GO,2026-03,42.6200,41.0775,3.76,AMARELO,,Nao,Nao
842,CEREAIS_GRAOS,"TRIGO - PÃO, PH 78, TIPO 1",RS,SÃO LUIZ GONZAGA-RS,2025-08,1.1300,1.0571,6.90,AMARELO,,Nao,Nao
898,PROTEINAS,CARNE CAPRINA - CARCAÇA,PE,,2025-11,28.1800,27.3357,3.09,AMARELO,,Nao,Nao
867,HORTIFRUTIGRANJEIROS,MILHO - EM GRÃOS,MG,PIUMHI-MG,2025-12,1.0300,1.0143,1.55,AMARELO,,Nao,Nao
845,HORTIFRUTIGRANJEIROS,BATATA-DOCE - NÃO INFORMADO,SP,,2025-07,0.1200,0.2786,-56.93,VERDE,,Nao,Nao
759,HORTIFRUTIGRANJEIROS,TOMATE - NÃO INFORMADO,MA,SÃO LUÍS-MA,2026-01,6.6200,7.2775,-9.03,AMARELO,,Nao,Nao
796,CEREAIS_GRAOS,FARINHA DE MANDIOCA - MÉDIA SECA,SE,,2026-02,3.5200,3.7914,-7.16,AMARELO,,Nao,Nao
867,HORTIFRUTIGRANJEIROS,MILHO - EM GRÃOS,TO,ARAGUAÍNA-TO,2025-08,1.3000,1.3471,-3.50,AMARELO,,Nao,Nao
1067,HORTIFRUTIGRANJEIROS,Abobrinha Brasileira,SP,,2026-06,5.5600,3.8584,44.10,VERMELHO,,Sim,Nao
822,ALIMENTO_VAREJO,FEIJAO - COMUM CORES,RO,ALTA FLORESTA D'OESTE-RO,2025-06,5.0300,6.1000,-17.54,VERDE,,Nao,Nao
956,HORTIFRUTIGRANJEIROS,Laranja Baia,MS,,2026-07,1.6000,1.6000,0.00,AMARELO,,Sim,Nao
752,PROTEINAS,MANTEIGA - NÃO INFORMADO,AM,,2026-01,54.9000,56.1300,-2.19,AMARELO,,Nao,Nao
792,ALIMENTO_VAREJO,OLEO DE SOJA - REFINADO,BA,SALVADOR-BA,2025-08,8.4900,9.0900,-6.60,AMARELO,,Nao,Nao
867,HORTIFRUTIGRANJEIROS,MILHO - EM GRÃOS,RJ,,2025-10,1.3200,1.4129,-6.58,AMARELO,,Nao,Nao
759,HORTIFRUTIGRANJEIROS,TOMATE - NÃO INFORMADO,RJ,RIO DE JANEIRO-RJ,2025-11,5.8500,6.6775,-12.39,AMARELO,,Nao,Nao
836,CEREAIS_GRAOS,FARINHA DE MANDIOCA - CRUA BRANCA,PI,TERESINA-PI,2025-10,8.0500,8.2525,-2.45,AMARELO,,Nao,Nao
776,ALIMENTO_VAREJO,FEIJAO - COMUM PRETO TIPO 1,AL,MACEIÓ-AL,2025-06,8.3500,6.3171,32.18,VERMELHO,,Nao,Nao
909,CEREAIS_GRAOS,ARROZ - LONGO FINO EM CASCA,TO,,2025-12,1.1400,1.2286,-7.21,AMARELO,,Nao,Nao
2104,ALIMENTO_VAREJO,Alho Importado Estados Unidos,SC,,2026-06,15.0000,15.0000,0.00,AMARELO,,Sim,Nao
794,HORTIFRUTIGRANJEIROS,BANANA - NANICA,TO,,2026-02,0.8500,1.0050,-15.42,VERDE,,Nao,Nao
763,ALIMENTO_VAREJO,ACUCAR - CRISTAL,AC,,2025-06,3.8700,3.7857,2.23,AMARELO,,Nao,Nao
794,HORTIFRUTIGRANJEIROS,BANANA - NANICA,RO,PORTO VELHO-RO,2026-02,1.1300,1.2850,-12.06,AMARELO,,Nao,Nao
794,HORTIFRUTIGRANJEIROS,BANANA - NANICA,SC,CORUPÁ-SC,2025-11,2.2500,1.6886,33.25,VERMELHO,,Nao,Nao
859,PROTEINAS,CARNE BOVINA - PATINHO S/OSSO,RO,,2025-09,35.3800,35.7300,-0.98,AMARELO,,Nao,Nao
867,HORTIFRUTIGRANJEIROS,MILHO - EM GRÃOS,PB,PATOS-PB,2025-06,1.3900,1.3386,3.84,AMARELO,,Nao,Nao
865,PROTEINAS,LEITE DE VACA - IN NATURA,RS,TEUTÔNIA-RS,2025-08,2.3600,2.2871,3.19,AMARELO,,Nao,Nao
832,ALIMENTO_VAREJO,FLOCOS DE MILHO - PRE-COZIDO,DF,,2025-10,1.8500,1.8771,-1.44,AMARELO,,Nao,Nao
822,ALIMENTO_VAREJO,FEIJAO - COMUM CORES,MS,,2025-07,2.8900,3.1543,-8.38,AMARELO,,Nao,Nao
759,HORTIFRUTIGRANJEIROS,TOMATE - NÃO INFORMADO,SP,,2025-11,8.1100,3.4671,133.91,VERMELHO,,Nao,Nao
836,CEREAIS_GRAOS,FARINHA DE MANDIOCA - CRUA BRANCA,PI,TERESINA-PI,2026-03,8.2400,8.2525,-0.15,AMARELO,,Nao,Nao
858,PROTEINAS,CARNE BOVINA - COXÃO DURO S/OSSO,MS,,2026-03,45.9700,44.0850,4.28,AMARELO,,Nao,Nao
792,ALIMENTO_VAREJO,OLEO DE SOJA - REFINADO,SE,ARACAJU-SE,2026-03,9.2600,8.9829,3.08,AMARELO,,Nao,Nao
792,ALIMENTO_VAREJO,OLEO DE SOJA - REFINADO,RJ,RIO DE JANEIRO-RJ,2025-06,7.8100,8.7114,-10.35,AMARELO,,Nao,Nao
