BURITI                   ;FRUTO               ;11117;PI        ;NORDESTE       ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,45
BURITI                   ;FRUTO               ;11117;RR        ;NORTE          ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,65
BURITI                   ;FRUTO               ;11117;AC        ;NORTE          ;2026;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,7
BURITI                   ;FRUTO               ;11117;AM        ;NORTE          ;2026;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,31
BURITI                   ;FIBRA               ;7558;MA        ;NORDESTE       ;2026;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;85,0
BURITI                   ;FRUTO               ;11117;PA        ;NORTE          ;2026;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,16
BURITI                   ;FRUTO               ;11117;PI        ;NORDESTE       ;2026;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,8
BURITI                   ;FRUTO               ;11117;RR        ;NORTE          ;2026;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,6
BURITI                   ;FRUTO               ;11117;AC        ;NORTE          ;2026;2;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,7
BURITI                   ;FRUTO               ;11117;AM        ;NORTE          ;2026;2;PREÇO RECEBIDO P/ PRODUTOR                                  ;3,15
BURITI                   ;FIBRA               ;7558;MA        ;NORDESTE       ;2026;2;PREÇO RECEBIDO P/ PRODUTOR                                  ;82,5
BURITI                   ;FRUTO               ;11117;PA        ;NORTE          ;2026;2;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,3
BURITI                   ;FRUTO               ;11117;PI        ;NORDESTE       ;2026;2;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,8
BURITI                   ;FRUTO               ;11117;RR        ;NORTE          ;2026;2;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,7
BURITI                   ;FRUTO               ;11117;AC        ;NORTE          ;2026;3;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,7
BURITI                   ;FRUTO               ;11117;AM        ;NORTE          ;2026;3;PREÇO RECEBIDO P/ PRODUTOR                                  ;3,15
BURITI                   ;FIBRA               ;7558;MA        ;NORDESTE       ;2026;3;PREÇO RECEBIDO P/ PRODUTOR                                  ;85,0
BURITI                   ;FRUTO               ;11117;PA        ;NORTE          ;2026;3;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,38
BURITI                   ;FRUTO               ;11117;RR        ;NORTE          ;2026;3;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,89
BURITI                   ;FRUTO               ;11117;AC        ;NORTE          ;2026;4;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,7
BURITI                   ;FRUTO               ;11117;AM        ;NORTE          ;2026;4;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,66
BURITI                   ;FIBRA               ;7558;MA        ;NORDESTE       ;2026;4;PREÇO RECEBIDO P/ PRODUTOR                                  ;83,75
BURITI                   ;FRUTO               ;11117;PA        ;NORTE          ;2026;4;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,53
BURITI                   ;FRUTO               ;11117;RR        ;NORTE          ;2026;4;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,88
BURITI                   ;FRUTO               ;11117;AC        ;NORTE          ;2026;5;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,7
BURITI                   ;FRUTO               ;11117;AM        ;NORTE          ;2026;5;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,69
BURITI                   ;FIBRA               ;7558;MA        ;NORDESTE       ;2026;5;PREÇO RECEBIDO P/ PRODUTOR                                  ;90,0
BURITI                   ;FRUTO               ;11117;PA        ;NORTE          ;2026;5;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,64
BURITI                   ;FRUTO               ;11117;RR        ;NORTE          ;2026;5;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,03
CABINE DE BAIXA TENSAO   ;NÃO INFORMADO       ;12131;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;35900,0
CABINE DE BAIXA TENSAO   ;NÃO INFORMADO       ;12131;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;39000,0
CABINE DE BAIXA TENSAO   ;NÃO INFORMADO       ;12131;RS        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;39000,0
CABINE DE MEDICAO        ;ALTA TENSÃO         ;12152;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;138323,0
CABINE DE MEDICAO        ;BAIXA TENSÃO        ;12151;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;30000,0
CABINE DE MEDICAO        ;ALTA TENSÃO         ;12152;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;152000,0
CABINE DE MEDICAO        ;BAIXA TENSÃO        ;12151;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;32500,0
CABINE DE MEDICAO        ;ALTA TENSÃO         ;12152;RS        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;152000,0
CABO                     ;60MM²               ;12138;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
CABO                     ;35MM²               ;12137;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
CABO                     ;50MM²               ;12221;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
CABO                     ;DUPLO, 120 MM       ;12150;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
CABO                     ;35MM²               ;12137;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;
CABO                     ;DUPLO, 120 MM       ;12150;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;
CABO                     ;50MM²               ;12221;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;
CABO                     ;60MM²               ;12138;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;
CABO                     ;35MM²               ;12137;RS        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
CABO                     ;DUPLO, 120 MM       ;12150;RS        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
CABO                     ;60MM²               ;12138;RS        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
CABO DE ACO              ;3 FIOS              ;14253;RS        ;SUL            ;2025;8;PREÇO PAGO PELO PRODUTOR                                    ;
CABO + GUILHOTINA        ;NÃO INFORMADO       ;13171;GO        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;79,9
CABRESTO                 ;7 NÓS               ;14951;MA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;35,0
CABRESTO                 ;7 NÓS               ;14951;PI        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;72,5
CABRIO TOP               ;WP 550 G/KG + 50 G/K;10670;SC        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;103,92
CABRIO TOP               ;WP 550 G/KG + 50 G/K;10670;SC        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;108,75
CABTRAC                  ;YARA                ;14439;RS        ;SUL            ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;90,01
CACAU CULTIVADO          ;NÃO INFORMADO       ;11953;BA        ;NORDESTE       ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;52,6
CACAU CULTIVADO          ;NÃO INFORMADO       ;11953;ES        ;SUDESTE        ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;53,08
CACAU CULTIVADO          ;NÃO INFORMADO       ;11953;PA        ;NORTE          ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;53,5
CACAU CULTIVADO          ;NÃO INFORMADO       ;11953;RO        ;NORTE          ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;51,19
CACAU CULTIVADO          ;NÃO INFORMADO       ;11953;BA        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;42,28
CACAU CULTIVADO          ;NÃO INFORMADO       ;11953;ES        ;SUDESTE        ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;47,72
CACAU CULTIVADO          ;NÃO INFORMADO       ;11953;PA        ;NORTE          ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;42,67
CACAU CULTIVADO          ;NÃO INFORMADO       ;11953;RO        ;NORTE          ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;46,36
CACAU CULTIVADO          ;NÃO INFORMADO       ;11953;BA        ;NORDESTE       ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;40,68
CACAU CULTIVADO          ;NÃO INFORMADO       ;11953;ES        ;SUDESTE        ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;39,92
CACAU CULTIVADO          ;NÃO INFORMADO       ;11953;PA        ;NORTE          ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;39,57
