TRATOR                   ;90 4X4              ;13706;MG        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;313000,0
TRATOR                   ;60                  ;14408;MG        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;228521,12
TRATOR                   ;75 CÂMBIO 12 MARCHAS;5104;MG        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;315000,0
TRATOR                   ;100 4X4 JOHN DEERE 6;5125;PR        ;SUL            ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;355000,0
TRATOR                   ;75 4X4 JOHN DEERE 56;5097;PR        ;SUL            ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;250000,0
TRATOR                   ;80                  ;12078;RS        ;SUL            ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;240908,72
TRATOR                   ;75 YANMAR SOLIS 75  ;14445;RS        ;SUL            ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;260000,0
TRATOR                   ;90                  ;10523;SC        ;SUL            ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;325900,0
TRATOR                   ;13 MICRO TRATOR TOBA;12936;SC        ;SUL            ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;25980,0
TRATOR                   ;89 MASSEY FERGUSON 3;14390;SP        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;310000,0
TRATOR                   ;65 4X2 MASSEY FERGUS;10702;SP        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;310000,0
TRATOR                   ;175 JOHN DEERE 544K-;12770;BA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;
TRATOR                   ;270 4X4 JOHN DEERE  ;13400;BA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;1400000,0
TRATOR                   ;170 JOHN DEERE 6170 ;12769;BA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;858000,0
TRATOR                   ;125 4X4 JOHN DEERE  ;15184;BA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;350000,0
TRATOR                   ;345 16X4 JOHN DEERE ;14057;BA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;1700000,0
TRATOR                   ;150 16X16 JOHN DEERE;14056;BA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;500000,0
TRATOR                   ;200                 ;11376;DF        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;979000,0
TRATOR                   ;150 CABINADO, SEM PI;13078;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;690000,0
TRATOR                   ;115 CABINADO, SEM PI;13079;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;521000,0
TRATOR                   ;110 4X4 MASSEY FERGU;13375;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;380000,0
TRATOR                   ;225 4X4 JOHN DEERE 7;10821;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;950000,0
TRATOR                   ;140 4X4 VALTRA BH 14;5143;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;570000,0
TRATOR                   ;185 4X4 JOHN DEERE 7;10582;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;750000,0
TRATOR                   ;120 4X4             ;10261;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;530000,0
TRATOR                   ;320 JOHN DEERE 8320 ;10310;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;1300000,0
TRATOR                   ;180 4X4             ;10524;MA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;690000,0
TRATOR                   ;100 4X4             ;11252;MA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;390000,0
TRATOR                   ;195 4X4 VALTRA BH 19;14940;MA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;665000,0
