AMISTAR TOP              ;SC 200 + 125 G/L AZO;11023;TAQUARITUBA-SP                                    ;3553807                       ;SP        ;SUDESTE        ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;156,0
AMISTAR TOP              ;SC 200 + 125 G/L AZO;11023;TAQUARITUBA-SP                                    ;3553807                       ;SP        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;185,12
AMONIACO                 ;ANTICOAGULANTE, PARA;13907;BELTERRA-PA                                       ;1501451                       ;PA        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;25,0
AMPLIGO                  ;SC 50 G/L + 100 G/L ;10234;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;400,0
AMPLIGO                  ;SC 50 G/L + 100 G/L ;10234;RIO VERDE-GO                                      ;5218805                       ;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;245,0
AMPLIGO                  ;NÃO INFORMADO       ;10233;CHAPADÃO DO SUL-MS                                ;5002951                       ;MS        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;250,0
AMPLIGO                  ;SC 50 G/L + 100 G/L ;10234;PONTA GROSSA-PR                                   ;4119905                       ;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;306,89
AMPLIGO                  ;SC 50 G/L + 100 G/L ;10234;GUARAPUAVA-PR                                     ;4109401                       ;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;255,74
AMPLIGO                  ;SC 50 G/L + 100 G/L ;10234;SÃO JOSÉ DE UBÁ-RJ                                ;3305133                       ;RJ        ;SUDESTE        ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;441,0
AMPLIGO                  ;SC 50 G/L + 100 G/L ;10234;ANGELINA-SC                                       ;4200903                       ;SC        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;399,0
AMPLIGO                  ;SC 50 G/L + 100 G/L ;10234;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;350,0
