MUDA DE CAJU             ;CAJUEIRO ANÃO       ;12662;PALHANO-CE                                        ;2310001                       ;CE        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;4,0
PAO                      ;FRANCÊS             ;11161;JOÃO PESSOA-PB                                    ;2507507                       ;PB        ;NORDESTE       ;2026;2;VAREJO                                                      ;15,81
PAO                      ;FRANCÊS             ;11161;RECIFE-PE                                         ;2611606                       ;PE        ;NORDESTE       ;2026;2;VAREJO                                                      ;14,18
PAO                      ;FRANCÊS             ;11161;TERESINA-PI                                       ;2211001                       ;PI        ;NORDESTE       ;2026;2;VAREJO                                                      ;19,96
PAO                      ;FRANCÊS             ;11161;CURITIBA-PR                                       ;4106902                       ;PR        ;SUL            ;2026;2;VAREJO                                                      ;16,19
PAO                      ;FRANCÊS             ;11161;RIO DE JANEIRO-RJ                                 ;3304557                       ;RJ        ;SUDESTE        ;2026;2;VAREJO                                                      ;20,38
PAO                      ;FRANCÊS             ;11161;NATAL-RN                                          ;2408102                       ;RN        ;NORDESTE       ;2026;2;VAREJO                                                      ;14,85
PAO                      ;FRANCÊS             ;11161;PORTO VELHO-RO                                    ;1100205                       ;RO        ;NORTE          ;2026;2;VAREJO                                                      ;15,28
PAO                      ;FRANCÊS             ;11161;BOA VISTA-RR                                      ;1400100                       ;RR        ;NORTE          ;2026;2;VAREJO                                                      ;11,0
PAO                      ;FRANCÊS             ;11161;PORTO ALEGRE-RS                                   ;4314902                       ;RS        ;SUL            ;2026;2;VAREJO                                                      ;15,45
PAO                      ;FRANCÊS             ;11161;FLORIANÓPOLIS-SC                                  ;4205407                       ;SC        ;SUL            ;2026;2;VAREJO                                                      ;17,06
PAO                      ;FRANCÊS             ;11161;ARACAJU-SE                                        ;2800308                       ;SE        ;NORDESTE       ;2026;2;VAREJO                                                      ;12,4
PAO                      ;FRANCÊS             ;11161;SÃO PAULO-SP                                      ;3550308                       ;SP        ;SUDESTE        ;2026;2;VAREJO                                                      ;19,58
PAO                      ;FRANCÊS             ;11161;PALMAS-TO                                         ;1721000                       ;TO        ;NORTE          ;2026;2;VAREJO                                                      ;17,97
PAO                      ;FRANCÊS             ;11161;RIO BRANCO-AC                                     ;1200401                       ;AC        ;NORTE          ;2026;3;VAREJO                                                      ;14,07
PAO                      ;FRANCÊS             ;11161;MACEIÓ-AL                                         ;2704302                       ;AL        ;NORDESTE       ;2026;3;VAREJO                                                      ;15,1
PAO                      ;FRANCÊS             ;11161;MANAUS-AM                                         ;1302603                       ;AM        ;NORTE          ;2026;3;VAREJO                                                      ;13,85
PAO                      ;FRANCÊS             ;11161;MACAPÁ-AP                                         ;1600303                       ;AP        ;NORTE          ;2026;3;VAREJO                                                      ;16,23
PAO                      ;FRANCÊS             ;11161;SALVADOR-BA                                       ;2927408                       ;BA        ;NORDESTE       ;2026;3;VAREJO                                                      ;16,85
PAO                      ;FRANCÊS             ;11161;FORTALEZA-CE                                      ;2304400                       ;CE        ;NORDESTE       ;2026;3;VAREJO                                                      ;21,03
PAO                      ;FRANCÊS             ;11161;BRASÍLIA-DF                                       ;5300108                       ;DF        ;CENTRO-OESTE   ;2026;3;VAREJO                                                      ;18,32
PAO                      ;FRANCÊS             ;11161;VITÓRIA-ES                                        ;3205309                       ;ES        ;SUDESTE        ;2026;3;VAREJO                                                      ;20,04
PAO                      ;FRANCÊS             ;11161;GOIÂNIA-GO                                        ;5208707                       ;GO        ;CENTRO-OESTE   ;2026;3;VAREJO                                                      ;18,79
PAO                      ;FRANCÊS             ;11161;SÃO LUÍS-MA                                       ;2111300                       ;MA        ;NORDESTE       ;2026;3;VAREJO                                                      ;18,64
PAO                      ;FRANCÊS             ;11161;BELO HORIZONTE-MG                                 ;3106200                       ;MG        ;SUDESTE        ;2026;3;VAREJO                                                      ;19,17
PAO                      ;FRANCÊS             ;11161;CAMPO GRANDE-MS                                   ;5002704                       ;MS        ;CENTRO-OESTE   ;2026;3;VAREJO                                                      ;17,94
PAO                      ;FRANCÊS             ;11161;CUIABÁ-MT                                         ;5103403                       ;MT        ;CENTRO-OESTE   ;2026;3;VAREJO                                                      ;20,84
PAO                      ;FRANCÊS             ;11161;BELÉM-PA                                          ;1501402                       ;PA        ;NORTE          ;2026;3;VAREJO                                                      ;16,82
PAO                      ;FRANCÊS             ;11161;JOÃO PESSOA-PB                                    ;2507507                       ;PB        ;NORDESTE       ;2026;3;VAREJO                                                      ;15,68
PAO                      ;FRANCÊS             ;11161;RECIFE-PE                                         ;2611606                       ;PE        ;NORDESTE       ;2026;3;VAREJO                                                      ;14,37
PAO                      ;FRANCÊS             ;11161;TERESINA-PI                                       ;2211001                       ;PI        ;NORDESTE       ;2026;3;VAREJO                                                      ;19,88
PAO                      ;FRANCÊS             ;11161;CURITIBA-PR                                       ;4106902                       ;PR        ;SUL            ;2026;3;VAREJO                                                      ;16,3
PAO                      ;FRANCÊS             ;11161;RIO DE JANEIRO-RJ                                 ;3304557                       ;RJ        ;SUDESTE        ;2026;3;VAREJO                                                      ;20,65
PAO                      ;FRANCÊS             ;11161;NATAL-RN                                          ;2408102                       ;RN        ;NORDESTE       ;2026;3;VAREJO                                                      ;15,03
PAO                      ;FRANCÊS             ;11161;PORTO VELHO-RO                                    ;1100205                       ;RO        ;NORTE          ;2026;3;VAREJO                                                      ;15,28
PAO                      ;FRANCÊS             ;11161;BOA VISTA-RR                                      ;1400100                       ;RR        ;NORTE          ;2026;3;VAREJO                                                      ;11,02
PAO                      ;FRANCÊS             ;11161;PORTO ALEGRE-RS                                   ;4314902                       ;RS        ;SUL            ;2026;3;VAREJO                                                      ;15,49
PAO                      ;FRANCÊS             ;11161;FLORIANÓPOLIS-SC                                  ;4205407                       ;SC        ;SUL            ;2026;3;VAREJO                                                      ;17,35
PAO                      ;FRANCÊS             ;11161;ARACAJU-SE                                        ;2800308                       ;SE        ;NORDESTE       ;2026;3;VAREJO                                                      ;12,23
PAO                      ;FRANCÊS             ;11161;SÃO PAULO-SP                                      ;3550308                       ;SP        ;SUDESTE        ;2026;3;VAREJO                                                      ;19,64
PAO                      ;FRANCÊS             ;11161;PALMAS-TO                                         ;1721000                       ;TO        ;NORTE          ;2026;3;VAREJO                                                      ;18,0
PAO                      ;FRANCÊS             ;11161;RIO BRANCO-AC                                     ;1200401                       ;AC        ;NORTE          ;2026;4;VAREJO                                                      ;14,15
PAO                      ;FRANCÊS             ;11161;MACEIÓ-AL                                         ;2704302                       ;AL        ;NORDESTE       ;2026;4;VAREJO                                                      ;15,12
PAO                      ;FRANCÊS             ;11161;MANAUS-AM                                         ;1302603                       ;AM        ;NORTE          ;2026;4;VAREJO                                                      ;13,86
PAO                      ;FRANCÊS             ;11161;MACAPÁ-AP                                         ;1600303                       ;AP        ;NORTE          ;2026;4;VAREJO                                                      ;16,2
PAO                      ;FRANCÊS             ;11161;SALVADOR-BA                                       ;2927408                       ;BA        ;NORDESTE       ;2026;4;VAREJO                                                      ;16,99
PAO                      ;FRANCÊS             ;11161;FORTALEZA-CE                                      ;2304400                       ;CE        ;NORDESTE       ;2026;4;VAREJO                                                      ;21,3
PAO                      ;FRANCÊS             ;11161;BRASÍLIA-DF                                       ;5300108                       ;DF        ;CENTRO-OESTE   ;2026;4;VAREJO                                                      ;18,62
PAO                      ;FRANCÊS             ;11161;VITÓRIA-ES                                        ;3205309                       ;ES        ;SUDESTE        ;2026;4;VAREJO                                                      ;20,09
PAO                      ;FRANCÊS             ;11161;GOIÂNIA-GO                                        ;5208707                       ;GO        ;CENTRO-OESTE   ;2026;4;VAREJO                                                      ;18,84
PAO                      ;FRANCÊS             ;11161;SÃO LUÍS-MA                                       ;2111300                       ;MA        ;NORDESTE       ;2026;4;VAREJO                                                      ;18,89
PAO                      ;FRANCÊS             ;11161;BELO HORIZONTE-MG                                 ;3106200                       ;MG        ;SUDESTE        ;2026;4;VAREJO                                                      ;19,27
PAO                      ;FRANCÊS             ;11161;CAMPO GRANDE-MS                                   ;5002704                       ;MS        ;CENTRO-OESTE   ;2026;4;VAREJO                                                      ;18,03
PAO                      ;FRANCÊS             ;11161;CUIABÁ-MT                                         ;5103403                       ;MT        ;CENTRO-OESTE   ;2026;4;VAREJO                                                      ;21,02
PAO                      ;FRANCÊS             ;11161;BELÉM-PA                                          ;1501402                       ;PA        ;NORTE          ;2026;4;VAREJO                                                      ;16,98
PAO                      ;FRANCÊS             ;11161;JOÃO PESSOA-PB                                    ;2507507                       ;PB        ;NORDESTE       ;2026;4;VAREJO                                                      ;15,82
PAO                      ;FRANCÊS             ;11161;RECIFE-PE                                         ;2611606                       ;PE        ;NORDESTE       ;2026;4;VAREJO                                                      ;14,58
PAO                      ;FRANCÊS             ;11161;TERESINA-PI                                       ;2211001                       ;PI        ;NORDESTE       ;2026;4;VAREJO                                                      ;19,84
PAO                      ;FRANCÊS             ;11161;CURITIBA-PR                                       ;4106902                       ;PR        ;SUL            ;2026;4;VAREJO                                                      ;16,13
PAO                      ;FRANCÊS             ;11161;RIO DE JANEIRO-RJ                                 ;3304557                       ;RJ        ;SUDESTE        ;2026;4;VAREJO                                                      ;20,84
PAO                      ;FRANCÊS             ;11161;NATAL-RN                                          ;2408102                       ;RN        ;NORDESTE       ;2026;4;VAREJO                                                      ;15,07
PAO                      ;FRANCÊS             ;11161;PORTO VELHO-RO                                    ;1100205                       ;RO        ;NORTE          ;2026;4;VAREJO                                                      ;15,34
PAO                      ;FRANCÊS             ;11161;BOA VISTA-RR                                      ;1400100                       ;RR        ;NORTE          ;2026;4;VAREJO                                                      ;11,07
PAO                      ;FRANCÊS             ;11161;PORTO ALEGRE-RS                                   ;4314902                       ;RS        ;SUL            ;2026;4;VAREJO                                                      ;15,59
PAO                      ;FRANCÊS             ;11161;FLORIANÓPOLIS-SC                                  ;4205407                       ;SC        ;SUL            ;2026;4;VAREJO                                                      ;17,46
PAO                      ;FRANCÊS             ;11161;ARACAJU-SE                                        ;2800308                       ;SE        ;NORDESTE       ;2026;4;VAREJO                                                      ;12,23
PAO                      ;FRANCÊS             ;11161;SÃO PAULO-SP                                      ;3550308                       ;SP        ;SUDESTE        ;2026;4;VAREJO                                                      ;19,6
PAO                      ;FRANCÊS             ;11161;PALMAS-TO                                         ;1721000                       ;TO        ;NORTE          ;2026;4;VAREJO                                                      ;18,72
PAO                      ;FRANCÊS             ;11161;RIO BRANCO-AC                                     ;1200401                       ;AC        ;NORTE          ;2026;5;VAREJO                                                      ;14,32
PAO                      ;FRANCÊS             ;11161;MACEIÓ-AL                                         ;2704302                       ;AL        ;NORDESTE       ;2026;5;VAREJO                                                      ;15,01
PAO                      ;FRANCÊS             ;11161;MANAUS-AM                                         ;1302603                       ;AM        ;NORTE          ;2026;5;VAREJO                                                      ;14,54
PAO                      ;FRANCÊS             ;11161;MACAPÁ-AP                                         ;1600303                       ;AP        ;NORTE          ;2026;5;VAREJO                                                      ;16,49
PAO                      ;FRANCÊS             ;11161;SALVADOR-BA                                       ;2927408                       ;BA        ;NORDESTE       ;2026;5;VAREJO                                                      ;17,09
PAO                      ;FRANCÊS             ;11161;FORTALEZA-CE                                      ;2304400                       ;CE        ;NORDESTE       ;2026;5;VAREJO                                                      ;21,65
PAO                      ;FRANCÊS             ;11161;BRASÍLIA-DF                                       ;5300108                       ;DF        ;CENTRO-OESTE   ;2026;5;VAREJO                                                      ;18,98
PAO                      ;FRANCÊS             ;11161;VITÓRIA-ES                                        ;3205309                       ;ES        ;SUDESTE        ;2026;5;VAREJO                                                      ;20,2
PAO                      ;FRANCÊS             ;11161;GOIÂNIA-GO                                        ;5208707                       ;GO        ;CENTRO-OESTE   ;2026;5;VAREJO                                                      ;19,14
PAO                      ;FRANCÊS             ;11161;SÃO LUÍS-MA                                       ;2111300                       ;MA        ;NORDESTE       ;2026;5;VAREJO                                                      ;19,13
PAO                      ;FRANCÊS             ;11161;BELO HORIZONTE-MG                                 ;3106200                       ;MG        ;SUDESTE        ;2026;5;VAREJO                                                      ;19,29
PAO                      ;FRANCÊS             ;11161;CAMPO GRANDE-MS                                   ;5002704                       ;MS        ;CENTRO-OESTE   ;2026;5;VAREJO                                                      ;17,93
PAO                      ;FRANCÊS             ;11161;CUIABÁ-MT                                         ;5103403                       ;MT        ;CENTRO-OESTE   ;2026;5;VAREJO                                                      ;21,26
PAO                      ;FRANCÊS             ;11161;BELÉM-PA                                          ;1501402                       ;PA        ;NORTE          ;2026;5;VAREJO                                                      ;16,92
PAO                      ;FRANCÊS             ;11161;JOÃO PESSOA-PB                                    ;2507507                       ;PB        ;NORDESTE       ;2026;5;VAREJO                                                      ;15,89
PAO                      ;FRANCÊS             ;11161;RECIFE-PE                                         ;2611606                       ;PE        ;NORDESTE       ;2026;5;VAREJO                                                      ;14,52
PAO                      ;FRANCÊS             ;11161;TERESINA-PI                                       ;2211001                       ;PI        ;NORDESTE       ;2026;5;VAREJO                                                      ;19,95
PAO                      ;FRANCÊS             ;11161;CURITIBA-PR                                       ;4106902                       ;PR        ;SUL            ;2026;5;VAREJO                                                      ;16,43
PAO                      ;FRANCÊS             ;11161;RIO DE JANEIRO-RJ                                 ;3304557                       ;RJ        ;SUDESTE        ;2026;5;VAREJO                                                      ;20,85
PAO                      ;FRANCÊS             ;11161;NATAL-RN                                          ;2408102                       ;RN        ;NORDESTE       ;2026;5;VAREJO                                                      ;15,04
PAO                      ;FRANCÊS             ;11161;PORTO VELHO-RO                                    ;1100205                       ;RO        ;NORTE          ;2026;5;VAREJO                                                      ;15,74
PAO                      ;FRANCÊS             ;11161;BOA VISTA-RR                                      ;1400100                       ;RR        ;NORTE          ;2026;5;VAREJO                                                      ;11,02
PAO                      ;FRANCÊS             ;11161;PORTO ALEGRE-RS                                   ;4314902                       ;RS        ;SUL            ;2026;5;VAREJO                                                      ;15,95
PAO                      ;FRANCÊS             ;11161;FLORIANÓPOLIS-SC                                  ;4205407                       ;SC        ;SUL            ;2026;5;VAREJO                                                      ;17,61
PAO                      ;FRANCÊS             ;11161;ARACAJU-SE                                        ;2800308                       ;SE        ;NORDESTE       ;2026;5;VAREJO                                                      ;12,31
PAO                      ;FRANCÊS             ;11161;SÃO PAULO-SP                                      ;3550308                       ;SP        ;SUDESTE        ;2026;5;VAREJO                                                      ;19,78
PAO                      ;FRANCÊS             ;11161;PALMAS-TO                                         ;1721000                       ;TO        ;NORTE          ;2026;5;VAREJO                                                      ;18,86
PAPEL                    ;LARANJA PROTEÇÃO DE ;12573;ITÁPOLIS-SP                                       ;3522703                       ;SP        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;0,43
PAPEL                    ;LARANJA PROTEÇÃO DE ;12573;MOJI MIRIM-SP                                     ;3530805                       ;SP        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;0,43
PAPEL 1 KG               ;NÃO INFORMADO       ;12661;MUTUÍPE-BA                                        ;2922409                       ;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;0,07
PAQUIMETRO               ;NÃO INFORMADO       ;13158;GOIANÉSIA-GO                                      ;5208608                       ;GO        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;65,0
PARA BROCA DA CANA - COTE;NÃO INFORMADO       ;14639;CORURIPE-AL                                       ;2702306                       ;AL        ;NORDESTE       ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;7,9
PASSAGEM DE ONIBUS PARA  ;NÃO INFORMADO       ;13894;BELTERRA-PA                                       ;1501451                       ;PA        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;7,0
PATIO DE DESCONTAMINACAO ;NÃO INFORMADO       ;10160;BARREIRAS-BA                                      ;2903201                       ;BA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;234250,0
PATIO DE DESCONTAMINACAO ;NÃO INFORMADO       ;10160;BARREIRAS-BA                                      ;2903201                       ;BA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;230000,0
PATIO DE DESCONTAMINACAO ;NÃO INFORMADO       ;10160;BARREIRAS-BA                                      ;2903201                       ;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;230000,0
PECONHEIRO               ;50 G/KG             ;12273;CODAJÁS-AM                                        ;1301308                       ;AM        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;55,0
PEDRA                    ;PARA APOIO DE ESTRUT;14316;BENTO GONÇALVES-RS                                ;4302105                       ;RS        ;SUL            ;2025;8;PREÇO PAGO PELO PRODUTOR                                    ;14,63
PEDRA                    ;PARA APOIO DE ESTRUT;14316;FLORES DA CUNHA-RS                                ;4308201                       ;RS        ;SUL            ;2025;8;PREÇO PAGO PELO PRODUTOR                                    ;12,0
PEDRA DE AMOLAR          ;NÃO INFORMADO       ;8667;LÁBREA-AM                                         ;1302405                       ;AM        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;35,0
PEDRA DE AMOLAR          ;NÃO INFORMADO       ;8667;CAIRU-BA                                          ;2905404                       ;BA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;43,92
PEDRA DE AMOLAR          ;NÃO INFORMADO       ;8667;ITUBERÁ-BA                                        ;2917300                       ;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;45,0
PEDRA DE AMOLAR          ;PRETA               ;13213;ITUBERÁ-BA                                        ;2917300                       ;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;45,0
PEDRA DE AMOLAR          ;ROSA                ;13212;ITUBERÁ-BA                                        ;2917300                       ;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;48,0
PEDRA DE AMOLAR          ;NÃO INFORMADO       ;8667;VITÓRIA-ES                                        ;3205309                       ;ES        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;25,0
PEDRA DE AMOLAR          ;NÃO INFORMADO       ;8667;SÃO JOSÉ DO RIO PRETO-SP                          ;3549805                       ;SP        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;18,62
PENEIRAS                 ;"""PEDREIRO""          ";12339;POCONÉ-MT                                         ;5106505                       ;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;38,0
PENEIRAS                 ;NÃO INFORMADO       ;5545;COLATINA-ES                                       ;3201506                       ;ES        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;60,0
PENEIRAS                 ;NÃO INFORMADO       ;5545;RIO BANANAL-ES                                    ;3204351                       ;ES        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;65,0
PENEIRAS                 ;NÃO INFORMADO       ;5545;PATROCÍNIO-MG                                     ;3148103                       ;MG        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;70,0
PENTE                    ;DE FERRO            ;15376;BARCELOS-AM                                       ;1300409                       ;AM        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;200,0
PEQUI                    ;COM CASCA           ;7559;NOVA CRIXÁS-GO                                    ;5214838                       ;GO        ;CENTRO-OESTE   ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,5
PEQUI                    ;COM CASCA           ;7559;RIBEIRÃO CASCALHEIRA-MT                           ;5107180                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,29
PEQUI                    ;COM CASCA           ;7559;SANTO ANTÔNIO DO LEVERGER-MT                      ;5107800                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,43
PEQUI                    ;COM CASCA           ;7559;BAIANÓPOLIS-BA                                    ;2902500                       ;BA        ;NORDESTE       ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;6,55
PEQUI                    ;COM CASCA           ;7559;NOVA CRIXÁS-GO                                    ;5214838                       ;GO        ;CENTRO-OESTE   ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,5
PEQUI                    ;COM CASCA           ;7559;JAPONVAR-MG                                       ;3135357                       ;MG        ;SUDESTE        ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,58
PEQUI                    ;COM CASCA           ;7559;MIRABELA-MG                                       ;3142007                       ;MG        ;SUDESTE        ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,81
PEQUI                    ;COM CASCA           ;7559;RIBEIRÃO CASCALHEIRA-MT                           ;5107180                       ;MT        ;CENTRO-OESTE   ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,29
PERFURADOR DE SOLO       ;NÃO INFORMADO       ;4891;FLORES DA CUNHA-RS                                ;4308201                       ;RS        ;SUL            ;2025;8;PREÇO PAGO PELO PRODUTOR                                    ;7250,0
PERITO                   ;NÃO INFORMADO       ;13936;DOURADOS-MS                                       ;5003702                       ;MS        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;58,4
PERITO                   ;NÃO INFORMADO       ;13936;DOURADOS-MS                                       ;5003702                       ;MS        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;58,42
PERITO                   ;NÃO INFORMADO       ;13936;DOURADOS-MS                                       ;5003702                       ;MS        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;46,34
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;92,0
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;RIO VERDE-GO                                      ;5218805                       ;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;57,0
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;BALSAS-MA                                         ;2101400                       ;MA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;77,0
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;CHAPADÃO DO SUL-MS                                ;5002951                       ;MS        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;60,0
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;PRIMAVERA DO LESTE-MT                             ;5107040                       ;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;59,7
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;CAMPO MOURÃO-PR                                   ;4104303                       ;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;62,28
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;LONDRINA-PR                                       ;4113700                       ;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;64,82
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;PONTA GROSSA-PR                                   ;4119905                       ;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;56,73
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;UBIRATÃ-PR                                        ;4128005                       ;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;64,0
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;SÃO GABRIEL-RS                                    ;4318309                       ;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;69,0
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;CAMPOS NOVOS-SC                                   ;4203600                       ;SC        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;76,35
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;TAQUARITUBA-SP                                    ;3553807                       ;SP        ;SUDESTE        ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;54,0
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;CASCAVEL-PR                                       ;4104808                       ;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;48,0
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;GUARAPUAVA-PR                                     ;4109401                       ;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;50,57
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;PRUDENTÓPOLIS-PR                                  ;4120606                       ;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;61,0
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;58,0
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;RIO VERDE-GO                                      ;5218805                       ;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;57,0
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;BALSAS-MA                                         ;2101400                       ;MA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;56,0
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;CHAPADÃO DO SUL-MS                                ;5002951                       ;MS        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;43,5
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;PRIMAVERA DO LESTE-MT                             ;5107040                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;61,01
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;CAMPO MOURÃO-PR                                   ;4104303                       ;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;57,69
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;LONDRINA-PR                                       ;4113700                       ;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;62,57
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;PONTA GROSSA-PR                                   ;4119905                       ;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;51,24
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;UBIRATÃ-PR                                        ;4128005                       ;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;57,74
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;SÃO GABRIEL-RS                                    ;4318309                       ;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;69,0
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;CAMPOS NOVOS-SC                                   ;4203600                       ;SC        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;59,6
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;TAQUARITUBA-SP                                    ;3553807                       ;SP        ;SUDESTE        ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;45,0
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;55,0
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;RIO VERDE-GO                                      ;5218805                       ;GO        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;50,0
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;BALSAS-MA                                         ;2101400                       ;MA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;64,0
PERITO 970 SG            ;970 G/KG ACEFATO ORG;11514;UNAÍ-MG                                           ;3170404                       ;MG        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;55,0
