MUDA DE CAJU             ;CAJUEIRO ANÃO       ;12662;PALHANO-CE                                        ;2310001                       ;CE        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;4,0
NATIVO                   ;200 G/l + 100 G/l TE;7359;RIO VERDE-GO                                      ;5218805                       ;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;71,5
NATIVO                   ;NÃO INFORMADO       ;7358;DOURADOS-MS                                       ;5003702                       ;MS        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;96,84
NATIVO                   ;200 G/l + 100 G/l TE;7359;LAGUNA CARAPÃ-MS                                  ;5005251                       ;MS        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;96,84
NATIVO                   ;200 G/l + 100 G/l TE;7359;CAMPO NOVO DO PARECIS-MT                          ;5102637                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;107,97
NATIVO                   ;NÃO INFORMADO       ;7358;PRIMAVERA DO LESTE-MT                             ;5107040                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;104,7
NATIVO                   ;200 G/l + 100 G/l TE;7359;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;95,88
NATIVO                   ;200 G/l + 100 G/l TE;7359;CAMPO MOURÃO-PR                                   ;4104303                       ;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;101,87
NATIVO                   ;200 G/l + 100 G/l TE;7359;LONDRINA-PR                                       ;4113700                       ;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;89,04
NATIVO                   ;200 G/l + 100 G/l TE;7359;UBIRATÃ-PR                                        ;4128005                       ;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;94,58
NATIVO                   ;200 G/l + 100 G/l TE;7359;CRUZ ALTA-RS                                      ;4306106                       ;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;86,5
NATIVO                   ;NÃO INFORMADO       ;7358;LAGOA DA CONFUSÃO-TO                              ;1711902                       ;TO        ;NORTE          ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;99,5
NATIVO                   ;200 G/l + 100 G/l TE;7359;PEDRO AFONSO-TO                                   ;1716505                       ;TO        ;NORTE          ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;110,0
NATIVO                   ;200 G/l + 100 G/l TE;7359;RIO VERDE-GO                                      ;5218805                       ;GO        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;70,8
NATIVO                   ;NÃO INFORMADO       ;7358;DOURADOS-MS                                       ;5003702                       ;MS        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;76,59
NATIVO                   ;200 G/l + 100 G/l TE;7359;CAMPO NOVO DO PARECIS-MT                          ;5102637                       ;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;113,23
NATIVO                   ;200 G/l + 100 G/l TE;7359;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;98,0
