PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;BA        ;NORDESTE       ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;27,13
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;ES        ;SUDESTE        ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;28,23
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;PA        ;NORTE          ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;28,17
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;BA        ;NORDESTE       ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;27,25
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;ES        ;SUDESTE        ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;28,44
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;PA        ;NORTE          ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;26,87
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;BA        ;NORDESTE       ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;25,46
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;ES        ;SUDESTE        ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;27,91
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;PA        ;NORTE          ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;27,07
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;BA        ;NORDESTE       ;2026;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;26,04
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;ES        ;SUDESTE        ;2026;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;27,11
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;PA        ;NORTE          ;2026;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;27,03
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;BA        ;NORDESTE       ;2026;2;PREÇO RECEBIDO P/ PRODUTOR                                  ;25,63
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;ES        ;SUDESTE        ;2026;2;PREÇO RECEBIDO P/ PRODUTOR                                  ;26,58
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;PA        ;NORTE          ;2026;2;PREÇO RECEBIDO P/ PRODUTOR                                  ;27,31
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;BA        ;NORDESTE       ;2026;3;PREÇO RECEBIDO P/ PRODUTOR                                  ;26,63
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;ES        ;SUDESTE        ;2026;3;PREÇO RECEBIDO P/ PRODUTOR                                  ;26,84
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;PA        ;NORTE          ;2026;3;PREÇO RECEBIDO P/ PRODUTOR                                  ;27,8
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;BA        ;NORDESTE       ;2026;4;PREÇO RECEBIDO P/ PRODUTOR                                  ;25,59
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;ES        ;SUDESTE        ;2026;4;PREÇO RECEBIDO P/ PRODUTOR                                  ;26,37
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;PA        ;NORTE          ;2026;4;PREÇO RECEBIDO P/ PRODUTOR                                  ;27,61
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;BA        ;NORDESTE       ;2026;5;PREÇO RECEBIDO P/ PRODUTOR                                  ;26,18
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;ES        ;SUDESTE        ;2026;5;PREÇO RECEBIDO P/ PRODUTOR                                  ;26,39
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;PA        ;NORTE          ;2026;5;PREÇO RECEBIDO P/ PRODUTOR                                  ;26,3
PIMENTAO                 ;VERDE               ;6664;ES        ;SUDESTE        ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,33
PIMENTAO                 ;VERDE               ;6664;ES        ;SUDESTE        ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;5,31
PIMENTAO                 ;VERDE               ;6664;ES        ;SUDESTE        ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;5,34
PIMENTAO                 ;VERDE               ;6664;ES        ;SUDESTE        ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;5,63
PIMENTAO                 ;VERDE               ;6664;ES        ;SUDESTE        ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;3,85
PIMENTAO                 ;VERDE               ;6664;ES        ;SUDESTE        ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,0
PINHAO                   ;IN NATURA           ;11145;MG        ;SUDESTE        ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;6,13
PINHAO                   ;IN NATURA           ;11145;PR        ;SUL            ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,6
PINHAO                   ;IN NATURA           ;11145;RS        ;SUL            ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;6,92
PINHAO                   ;IN NATURA           ;11145;SC        ;SUL            ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;5,6
PINHAO                   ;IN NATURA           ;11145;SP        ;SUDESTE        ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,08
PINHAO                   ;IN NATURA           ;11145;PR        ;SUL            ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,59
PINHAO                   ;IN NATURA           ;11145;RS        ;SUL            ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,53
PINHAO                   ;IN NATURA           ;11145;SC        ;SUL            ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;6,55
PINHAO                   ;IN NATURA           ;11145;SP        ;SUDESTE        ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,56
PINHAO                   ;IN NATURA           ;11145;PR        ;SUL            ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,87
PINHAO                   ;IN NATURA           ;11145;RS        ;SUL            ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,08
PINHAO                   ;IN NATURA           ;11145;SC        ;SUL            ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;6,5
