CARNE SUINA              ;PERNIL COM OSSO CONG;11177;SÃO PAULO-SP                                      ;3550308                       ;SP        ;SUDESTE        ;2025;11;ATACADO                                                     ;19,21
CARNE SUINA              ;CARCAÇA CONGELADA   ;11179;FORTALEZA-CE                                      ;2304400                       ;CE        ;NORDESTE       ;2025;12;ATACADO                                                     ;16,0
CARNE SUINA              ;CARCAÇA CONGELADA   ;11179;BELO HORIZONTE-MG                                 ;3106200                       ;MG        ;SUDESTE        ;2025;12;ATACADO                                                     ;13,04
CARNE SUINA              ;CARCAÇA CONGELADA   ;11179;CONCÓRDIA-SC                                      ;4204301                       ;SC        ;SUL            ;2025;12;ATACADO                                                     ;14,9
CARNE SUINA              ;PERNIL COM OSSO CONG;11177;SÃO JOSÉ-SC                                       ;4216602                       ;SC        ;SUL            ;2025;12;ATACADO                                                     ;15,9
CARNE SUINA              ;PERNIL COM OSSO CONG;11177;SÃO PAULO-SP                                      ;3550308                       ;SP        ;SUDESTE        ;2025;12;ATACADO                                                     ;18,0
CARNE SUINA              ;CARCAÇA CONGELADA   ;11179;CONCÓRDIA-SC                                      ;4204301                       ;SC        ;SUL            ;2026;1;ATACADO                                                     ;14,79
CAROCO DE ALGODAO        ;NÃO INFORMADO       ;4724;BARREIRAS-BA                                      ;2903201                       ;BA        ;NORDESTE       ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,6
CAROCO DE ALGODAO        ;NÃO INFORMADO       ;4724;CHAPADÃO DO CÉU-GO                                ;5205471                       ;GO        ;CENTRO-OESTE   ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,01
CAROCO DE ALGODAO        ;NÃO INFORMADO       ;4724;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,39
CAROCO DE ALGODAO        ;NÃO INFORMADO       ;4724;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2025;6;ATACADO                                                     ;1,39
