BATATA-DOCE              ;AMARELA             ;11170;MARIANA PIMENTEL-RS                               ;4311981                       ;RS        ;SUL            ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,18
BATATA-DOCE              ;NÃO INFORMADO       ;9787;BIGUAÇU-SC                                        ;4202305                       ;SC        ;SUL            ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,29
BATATA-DOCE              ;NÃO INFORMADO       ;9787;ITABAIANA-SE                                      ;2802908                       ;SE        ;NORDESTE       ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,31
BATATA-DOCE              ;NÃO INFORMADO       ;9787;ANHUMAS-SP                                        ;3502408                       ;SP        ;SUDESTE        ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,32
BATATA-DOCE              ;NÃO INFORMADO       ;9787;RIO BRANCO-AC                                     ;1200401                       ;AC        ;NORTE          ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,4
BATATA-DOCE              ;NÃO INFORMADO       ;9787;ARAPIRACA-AL                                      ;2700300                       ;AL        ;NORDESTE       ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,62
BATATA-DOCE              ;NÃO INFORMADO       ;9787;CAMPO GRANDE-AL                                   ;2701506                       ;AL        ;NORDESTE       ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,61
BATATA-DOCE              ;NÃO INFORMADO       ;9787;FEIRA GRANDE-AL                                   ;2702603                       ;AL        ;NORDESTE       ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,61
BATATA-DOCE              ;NÃO INFORMADO       ;9787;QUEBRANGULO-AL                                    ;2707602                       ;AL        ;NORDESTE       ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,66
BATATA-DOCE              ;NÃO INFORMADO       ;9787;MANAQUIRI-AM                                      ;1302553                       ;AM        ;NORTE          ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,02
BATATA-DOCE              ;NÃO INFORMADO       ;9787;TEIXEIRA DE FREITAS-BA                            ;2931350                       ;BA        ;NORDESTE       ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,6
BATATA-DOCE              ;NÃO INFORMADO       ;9787;BRASÍLIA-DF                                       ;5300108                       ;DF        ;CENTRO-OESTE   ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,52
BATATA-DOCE              ;NÃO INFORMADO       ;9787;SANTA MARIA DE JETIBÁ-ES                          ;3204559                       ;ES        ;SUDESTE        ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,38
BATATA-DOCE              ;NÃO INFORMADO       ;9787;POUSO ALEGRE-MG                                   ;3152501                       ;MG        ;SUDESTE        ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,61
BATATA-DOCE              ;NÃO INFORMADO       ;9787;CUIABÁ-MT                                         ;5103403                       ;MT        ;CENTRO-OESTE   ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,39
BATATA-DOCE              ;AMARELA             ;11170;PEDRAS DE FOGO-PB                                 ;2511202                       ;PB        ;NORDESTE       ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,27
BATATA-DOCE              ;NÃO INFORMADO       ;9787;CORRENTES-PE                                      ;2604700                       ;PE        ;NORDESTE       ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,43
BATATA-DOCE              ;NÃO INFORMADO       ;9787;SÃO JOSÉ DOS PINHAIS-PR                           ;4125506                       ;PR        ;SUL            ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,75
BATATA-DOCE              ;NÃO INFORMADO       ;9787;BOM JARDIM-RJ                                     ;3300506                       ;RJ        ;SUDESTE        ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,36
BATATA-DOCE              ;NÃO INFORMADO       ;9787;CACHOEIRAS DE MACACU-RJ                           ;3300803                       ;RJ        ;SUDESTE        ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,32
BATATA-DOCE              ;NÃO INFORMADO       ;9787;MAGÉ-RJ                                           ;3302502                       ;RJ        ;SUDESTE        ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,64
BATATA-DOCE              ;NÃO INFORMADO       ;9787;NOVA FRIBURGO-RJ                                  ;3303401                       ;RJ        ;SUDESTE        ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,39
BATATA-DOCE              ;NÃO INFORMADO       ;9787;SÃO JOSÉ DE MIPIBU-RN                             ;2412203                       ;RN        ;NORDESTE       ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,27
BATATA-DOCE              ;AMARELA             ;11170;MARIANA PIMENTEL-RS                               ;4311981                       ;RS        ;SUL            ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,58
BATATA-DOCE              ;NÃO INFORMADO       ;9787;BIGUAÇU-SC                                        ;4202305                       ;SC        ;SUL            ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,31
BATATA-DOCE              ;NÃO INFORMADO       ;9787;ITABAIANA-SE                                      ;2802908                       ;SE        ;NORDESTE       ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,23
BATATA-DOCE              ;NÃO INFORMADO       ;9787;ANHUMAS-SP                                        ;3502408                       ;SP        ;SUDESTE        ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,49
BATATA-DOCE              ;NÃO INFORMADO       ;9787;RIO BRANCO-AC                                     ;1200401                       ;AC        ;NORTE          ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,4
BATATA-DOCE              ;NÃO INFORMADO       ;9787;ARAPIRACA-AL                                      ;2700300                       ;AL        ;NORDESTE       ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,65
BATATA-DOCE              ;NÃO INFORMADO       ;9787;CAMPO GRANDE-AL                                   ;2701506                       ;AL        ;NORDESTE       ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,6
BATATA-DOCE              ;NÃO INFORMADO       ;9787;FEIRA GRANDE-AL                                   ;2702603                       ;AL        ;NORDESTE       ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,6
BATATA-DOCE              ;NÃO INFORMADO       ;9787;QUEBRANGULO-AL                                    ;2707602                       ;AL        ;NORDESTE       ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,66
BATATA-DOCE              ;NÃO INFORMADO       ;9787;MANAQUIRI-AM                                      ;1302553                       ;AM        ;NORTE          ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,3
BATATA-DOCE              ;NÃO INFORMADO       ;9787;TEIXEIRA DE FREITAS-BA                            ;2931350                       ;BA        ;NORDESTE       ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,72
BATATA-DOCE              ;NÃO INFORMADO       ;9787;BRASÍLIA-DF                                       ;5300108                       ;DF        ;CENTRO-OESTE   ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,54
BATATA-DOCE              ;NÃO INFORMADO       ;9787;SANTA MARIA DE JETIBÁ-ES                          ;3204559                       ;ES        ;SUDESTE        ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,41
BATATA-DOCE              ;NÃO INFORMADO       ;9787;POUSO ALEGRE-MG                                   ;3152501                       ;MG        ;SUDESTE        ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,69
BATATA-DOCE              ;NÃO INFORMADO       ;9787;CUIABÁ-MT                                         ;5103403                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,6
BATATA-DOCE              ;AMARELA             ;11170;PEDRAS DE FOGO-PB                                 ;2511202                       ;PB        ;NORDESTE       ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;3,95
BATATA-DOCE              ;NÃO INFORMADO       ;9787;CORRENTES-PE                                      ;2604700                       ;PE        ;NORDESTE       ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,33
BATATA-DOCE              ;NÃO INFORMADO       ;9787;SÃO JOSÉ DOS PINHAIS-PR                           ;4125506                       ;PR        ;SUL            ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,75
BATATA-DOCE              ;NÃO INFORMADO       ;9787;BOM JARDIM-RJ                                     ;3300506                       ;RJ        ;SUDESTE        ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,39
BATATA-DOCE              ;NÃO INFORMADO       ;9787;CACHOEIRAS DE MACACU-RJ                           ;3300803                       ;RJ        ;SUDESTE        ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,36
BATATA-DOCE              ;NÃO INFORMADO       ;9787;MAGÉ-RJ                                           ;3302502                       ;RJ        ;SUDESTE        ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,6
BATATA-DOCE              ;NÃO INFORMADO       ;9787;NOVA FRIBURGO-RJ                                  ;3303401                       ;RJ        ;SUDESTE        ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,44
BATATA-DOCE              ;NÃO INFORMADO       ;9787;TRAJANO DE MORAES-RJ                              ;3305901                       ;RJ        ;SUDESTE        ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,36
