produto;classificao_produto;id_produto;nom_municipio;cod_ibge;uf;regiao;ano;mes;dsc_nivel_comercializacao;valor_produto_kg
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;BAIXA GRANDE DO RIBEIRO-PI                        ;2201150                       ;PI        ;NORDESTE       ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,23
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;URUÇUÍ-PI                                         ;2211209                       ;PI        ;NORDESTE       ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,23
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;AVARÉ-SP                                          ;3504503                       ;SP        ;SUDESTE        ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,67
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;ORLÂNDIA-SP                                       ;3534302                       ;SP        ;SUDESTE        ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,83
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;DIANÓPOLIS-TO                                     ;1707009                       ;TO        ;NORTE          ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,0
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;BARREIRAS-BA                                      ;2903201                       ;BA        ;NORDESTE       ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,66
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;CHAPADÃO DO CÉU-GO                                ;5205471                       ;GO        ;CENTRO-OESTE   ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,59
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,87
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;ITUMBIARA-GO                                      ;5211503                       ;GO        ;CENTRO-OESTE   ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,67
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;MINEIROS-GO                                       ;5213103                       ;GO        ;CENTRO-OESTE   ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,82
