FRANGO                   ;VIVO                ;4184;ES        ;SUDESTE        ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;6,65
FRANGO                   ;VIVO                ;4184;GO        ;CENTRO-OESTE   ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;6,03
FRANGO                   ;VIVO                ;4184;SC        ;SUL            ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,38
FRANGO                   ;VIVO                ;4184;SP        ;SUDESTE        ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;5,77
FRANGO                   ;VIVO                ;4184;ES        ;SUDESTE        ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;6,68
FRANGO                   ;VIVO                ;4184;GO        ;CENTRO-OESTE   ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;6,4
FRANGO                   ;VIVO                ;4184;SC        ;SUL            ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,36
FRANGO                   ;VIVO                ;4184;SP        ;SUDESTE        ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;6,27
FRANGO                   ;VIVO                ;4184;ES        ;SUDESTE        ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;6,71
FRANGO                   ;VIVO                ;4184;GO        ;CENTRO-OESTE   ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;6,13
FRANGO                   ;VIVO                ;4184;SC        ;SUL            ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,43
FRANGO                   ;VIVO                ;4184;SP        ;SUDESTE        ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;6,12
FRANGO                   ;VIVO                ;4184;ES        ;SUDESTE        ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,39
FRANGO                   ;VIVO                ;4184;GO        ;CENTRO-OESTE   ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;5,48
FRANGO                   ;VIVO                ;4184;SC        ;SUL            ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,31
FRANGO                   ;VIVO                ;4184;SP        ;SUDESTE        ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;5,78
FRANGO                   ;VIVO                ;4184;ES        ;SUDESTE        ;2026;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;6,54
FRANGO                   ;VIVO                ;4184;GO        ;CENTRO-OESTE   ;2026;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;5,2
FRANGO                   ;VIVO                ;4184;SC        ;SUL            ;2026;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,96
FRANGO                   ;VIVO                ;4184;SP        ;SUDESTE        ;2026;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;5,49
FRANGO                   ;VIVO                ;4184;ES        ;SUDESTE        ;2026;2;PREÇO RECEBIDO P/ PRODUTOR                                  ;6,22
FRANGO                   ;VIVO                ;4184;GO        ;CENTRO-OESTE   ;2026;2;PREÇO RECEBIDO P/ PRODUTOR                                  ;5,03
FRANGO                   ;VIVO                ;4184;SC        ;SUL            ;2026;2;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,27
FRANGO                   ;VIVO                ;4184;SP        ;SUDESTE        ;2026;2;PREÇO RECEBIDO P/ PRODUTOR                                  ;5,67
FRANGO                   ;VIVO                ;4184;ES        ;SUDESTE        ;2026;3;PREÇO RECEBIDO P/ PRODUTOR                                  ;5,88
FRANGO                   ;VIVO                ;4184;GO        ;CENTRO-OESTE   ;2026;3;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,5
