Categoria,Produto,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
FRUTAS,Uva Arra 15,B,B,B,M,A,A,A,M,M,M,A,A
FRUTAS,Uva Benitaka,M,M,B,B,B,B,B,B,B,B,B,A
FRUTAS,Uva Brasil,A,A,M,B,B,B,B,M,B,B,B,M
FRUTAS,Uva Centenial,A,B,B,B,B,B,B,B,B,B,B,M
FRUTAS,Uva Crinsom,B,B,B,B,B,B,M,M,A,A,A,A
FRUTAS,Uva Crimson Importada,B,M,A,A,M,B,B,B,B,B,B,B
FRUTAS,Uva Isabel,M,M,B,B,M,M,B,M,B,M,A,A
FRUTAS,Uva Isis,B,B,B,B,A,A,A,A,M,A,A,A
FRUTAS,Uva Italia,M,M,M,B,B,B,B,B,B,B,B,A
FRUTAS,Uva Melodia,B,B,B,B,M,B,M,M,B,M,A,A
FRUTAS,Uva Moscatel Importada,B,B,A,M,M,B,B,B,B,B,B,B
FRUTAS,Uva Niagara,M,B,B,B,B,B,B,B,B,B,B,A
FRUTAS,Uva Passa Importada,B,B,B,M,B,B,M,B,A,A,A,A
FRUTAS,Uva Red Globe,B,B,B,B,B,B,A,A,A,M,M,B
FRUTAS,Uva Red Globe Importada,B,M,M,A,A,A,B,B,B,B,B,B
FRUTAS,Uva Rubi,M,M,A,M,B,B,B,M,B,B,B,M
FRUTAS,Uva Thompson,M,B,B,B,B,B,B,B,B,M,A,A
FRUTAS,Uva Thompson Importada,M,M,A,M,M,M,B,B,B,B,M,A
FRUTAS,Uva Vitoria,M,B,B,B,M,M,M,M,M,M,A,A
---,,,,,,,,,,,,,
LEGUMES,Abóbora D´Agua,M,A,A,M,M,B,B,B,B,B,B,M
LEGUMES,Abóbora Japonesa,M,M,A,A,A,A,B,B,B,B,B,B
LEGUMES,Abóbora Moranga,B,B,B,B,B,B,B,A,A,A,M,B
LEGUMES,Abóbora Paulista,M,M,A,A,A,M,M,M,M,A,A,B
LEGUMES,Abóbora Seca,M,M,A,A,A,A,B,B,B,B,M,M
LEGUMES,Abobrinha Brasileira,A,A,M,A,B,M,B,B,B,M,M,B
LEGUMES,Abobrinha Italiana,M,B,M,M,A,A,B,M,M,A,A,B
LEGUMES,Alcachofra,B,B,B,B,B,B,B,M,A,A,M,B
LEGUMES,Batata Doce Amarela,B,B,M,A,A,A,M,M,B,B,B,B
LEGUMES,Batata Doce Branca,A,A,A,M,M,A,B,M,M,A,A,M
LEGUMES,Batata Doce Rosada,M,A,A,M,M,B,B,B,B,B,B,M
LEGUMES,Batata Doce Roxa,B,M,M,M,A,A,B,A,M,M,B,B
LEGUMES,Batata Yakon,A,A,M,M,M,M,B,B,B,B,M,B
LEGUMES,Berinjela Comum,A,M,M,M,M,M,B,M,M,M,A,M
LEGUMES,Berinjela Japonesa,B,M,M,M,B,B,B,B,M,A,A,M
LEGUMES,Beterraba,A,M,M,M,M,M,B,A,A,A,A,M
LEGUMES,Cará,M,B,M,A,A,A,M,A,A,A,M,B
LEGUMES,Cenoura,A,M,M,M,M,M,B,M,M,M,M,A
LEGUMES,Chuchu,M,M,A,A,M,M,B,M,M,A,A,B
LEGUMES,Ervilha Torta,B,B,B,M,M,A,M,A,A,B,B,B
LEGUMES,Feijão de Corda,A,A,M,A,M,B,B,B,B,B,M,A
LEGUMES,Gengibre,A,B,B,M,A,A,B,B,B,B,B,B
LEGUMES,Inhame,A,B,M,A,A,A,M,A,M,M,M,B
LEGUMES,Jiló,A,A,A,A,A,A,M,M,M,B,A,M
LEGUMES,Lakio,M,B,B,B,B,B,B,B,M,A,A,M
LEGUMES,Lenkon,B,M,A,A,A,A,M,A,M,B,B,B
LEGUMES,Mandioca,B,B,M,M,A,A,A,A,A,M,M,B
LEGUMES,Mandioquinha,B,B,B,M,A,A,A,A,M,M,B,B
LEGUMES,Maxixe,A,A,M,M,B,B,B,B,A,A,A,A
LEGUMES,Miyoga,A,B,B,B,B,B,B,B,B,B,B,A
LEGUMES,Nigagori,M,A,A,M,B,B,B,B,B,B,B,B
LEGUMES,Pepino Caipira,M,M,A,A,M,B,B,B,B,M,M,B
LEGUMES,Pepino Comum,A,M,A,A,B,B,M,B,B,M,M,B
LEGUMES,Pepino Japonês,A,A,M,M,M,B,B,B,B,M,A,M
LEGUMES,Pimenta Cambuci,A,A,M,M,B,M,B,B,M,A,A,M
LEGUMES,Pimenta Dedo de Moça,B,B,B,B,M,M,M,A,M,A,M,M
LEGUMES,Pimenta Malagueta/Malaguetão,B,B,B,B,B,M,A,A,A,M,M,M
LEGUMES,Pimenta Verde,M,B,B,B,M,M,A,M,B,B,M,B
LEGUMES,Pimenta Verde Americana,A,B,M,B,B,B,B,B,B,M,M,A
LEGUMES,Pimentão Amarelo,M,B,B,B,B,B,B,B,M,B,M,A
LEGUMES,Pimentão Verde,A,B,B,M,M,B,B,B,B,M,M,A
LEGUMES,Pimentão Vermelho,M,B,B,B,B,B,B,B,B,B,B,A
LEGUMES,Quiabo,A,A,A,M,B,B,B,B,M,M,M,M
LEGUMES,Taquenoco,B,B,B,B,B,B,B,B,B,M,A,M
LEGUMES,Tomate Caqui,A,M,B,M,M,A,A,B,M,M,M,M
LEGUMES,Tomate Carmem,A,M,B,B,M,M,B,B,B,B,A,M
LEGUMES,Tomate Cereja,A,A,M,B,B,B,B,B,B,M,A,A
LEGUMES,Tomate Debora,A,A,M,B,M,M,M,B,B,M,A,A
LEGUMES,Tomate Holandês,A,B,B,B,B,B,B,B,M,M,A,A
LEGUMES,Tomate Italiano - Pizzadoro,A,M,M,B,M,M,B,B,B,B,A,A
LEGUMES,Tomate Rasteiro,B,B,B,B,B,M,A,A,A,A,B,B
LEGUMES,Tomate Sweet Grape,M,B,B,B,B,B,M,M,M,A,M,A
LEGUMES,Ume,B,B,B,B,A,M,B,B,A,M,B,B
LEGUMES,Vagem Macarrão,A,B,B,B,M,B,B,M,B,B,A,A
LEGUMES,Vagem Manteiga,M,B,B,M,M,B,B,A,M,A,A,A
LEGUMES,Vagem Metro,A,A,M,A,M,M,B,B,B,B,B,M
---,,,,,,,,,,,,,
VERDURAS,Acelga Chinesa,B,B,B,B,M,B,M,A,M,M,M,M
VERDURAS,Acelga,M,A,A,A,M,B,B,B,B,B,M,M
