FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;BRASÍLIA-DF                                       ;5300108                       ;DF        ;CENTRO-OESTE   ;2025;8;VAREJO                                                      ;4,4
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;VITÓRIA-ES                                        ;3205309                       ;ES        ;SUDESTE        ;2025;8;ATACADO                                                     ;3,56
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;VITÓRIA-ES                                        ;3205309                       ;ES        ;SUDESTE        ;2025;8;VAREJO                                                      ;3,56
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;GOIÂNIA-GO                                        ;5208707                       ;GO        ;CENTRO-OESTE   ;2025;8;ATACADO                                                     ;3,44
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;GOIÂNIA-GO                                        ;5208707                       ;GO        ;CENTRO-OESTE   ;2025;8;VAREJO                                                      ;4,92
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;SÃO LUÍS-MA                                       ;2111300                       ;MA        ;NORDESTE       ;2025;8;ATACADO                                                     ;4,37
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;SÃO LUÍS-MA                                       ;2111300                       ;MA        ;NORDESTE       ;2025;8;VAREJO                                                      ;4,48
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;BELO HORIZONTE-MG                                 ;3106200                       ;MG        ;SUDESTE        ;2025;8;VAREJO                                                      ;4,34
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;BELO HORIZONTE-MG                                 ;3106200                       ;MG        ;SUDESTE        ;2025;8;ATACADO                                                     ;3,85
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;CAMPO GRANDE-MS                                   ;5002704                       ;MS        ;CENTRO-OESTE   ;2025;8;VAREJO                                                      ;4,65
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;CAMPO GRANDE-MS                                   ;5002704                       ;MS        ;CENTRO-OESTE   ;2025;8;ATACADO                                                     ;3,95
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;CUIABÁ-MT                                         ;5103403                       ;MT        ;CENTRO-OESTE   ;2025;8;VAREJO                                                      ;4,02
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;CUIABÁ-MT                                         ;5103403                       ;MT        ;CENTRO-OESTE   ;2025;8;ATACADO                                                     ;3,94
