CARNE DE FRANGO          ;RESFRIADO           ;4249;PE        ;NORDESTE       ;2025;6;VAREJO                                                      ;11,7
CARNE DE FRANGO          ;CONGELADO           ;4244;PR        ;SUL            ;2025;6;VAREJO                                                      ;12,53
CARNE DE FRANGO          ;CONGELADO           ;4244;RS        ;SUL            ;2025;6;VAREJO                                                      ;11,07
CARNE DE FRANGO          ;SEM MIÚDOS CONGELADA;11183;SC        ;SUL            ;2025;6;ATACADO                                                     ;11,27
CARNE DE FRANGO          ;CONGELADO           ;4244;SP        ;SUDESTE        ;2025;6;ATACADO                                                     ;10,3
CARNE DE FRANGO          ;CONGELADO           ;4244;SP        ;SUDESTE        ;2025;6;VAREJO                                                      ;11,01
CARNE DE FRANGO          ;CONGELADO           ;4244;BA        ;NORDESTE       ;2025;7;VAREJO                                                      ;10,37
CARNE DE FRANGO          ;CONGELADO           ;4244;GO        ;CENTRO-OESTE   ;2025;7;ATACADO                                                     ;9,87
CARNE DE FRANGO          ;CONGELADO           ;4244;MG        ;SUDESTE        ;2025;7;VAREJO                                                      ;9,61
CARNE DE FRANGO          ;CONGELADO           ;4244;MG        ;SUDESTE        ;2025;7;ATACADO                                                     ;9,75
CARNE DE FRANGO          ;CONGELADO           ;4244;MT        ;CENTRO-OESTE   ;2025;7;ATACADO                                                     ;11,12
CARNE DE FRANGO          ;CONGELADO           ;4244;PA        ;NORTE          ;2025;7;ATACADO                                                     ;10,62
CARNE DE FRANGO          ;CONGELADO           ;4244;PE        ;NORDESTE       ;2025;7;VAREJO                                                      ;12,71
CARNE DE FRANGO          ;RESFRIADO           ;4249;PE        ;NORDESTE       ;2025;7;VAREJO                                                      ;12,03
CARNE DE FRANGO          ;CONGELADO           ;4244;PR        ;SUL            ;2025;7;VAREJO                                                      ;12,19
CARNE DE FRANGO          ;CONGELADO           ;4244;RS        ;SUL            ;2025;7;VAREJO                                                      ;12,3
CARNE DE FRANGO          ;SEM MIÚDOS CONGELADA;11183;SC        ;SUL            ;2025;7;ATACADO                                                     ;11,65
CARNE DE FRANGO          ;CONGELADO           ;4244;SP        ;SUDESTE        ;2025;7;VAREJO                                                      ;10,2
