ESPORAS                  ;COLHEITA PINHÃO     ;11658;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
ESPORAS                  ;COLHEITA PINHÃO     ;11658;SC        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;290,0
ESPORAS                  ;COLHEITA PINHÃO     ;11658;SC        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;290,0
ESTACAS                  ;DIÂMETRO DE 10-12 CM;15012;AL        ;NORDESTE       ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;14,0
ESTACAS                  ;DE EUCALÍPTO TRATADO;14220;BA        ;NORDESTE       ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;36,0
ESTACAS                  ;DE EUCALÍPTO TRATADO;14221;BA        ;NORDESTE       ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;16,0
ESTACAS                  ;DE MADEIRA          ;12886;BA        ;NORDESTE       ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;3,2
ESTACAS                  ;DE EUCALIPTO TRATADO;13083;ES        ;SUDESTE        ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;25,0
ESTACAS                  ;DE MADEIRA          ;12886;PA        ;NORTE          ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;0,6
ESTACAS                  ;DE BAMBU            ;11758;RJ        ;SUDESTE        ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;0,83
ESTACAS                  ;DE EUCALIPTO TRATADO;15432;SC        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;26,5
ESTACAS                  ;DE EUCALIPTO TRATADO;15433;SC        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;33,0
ESTACAS                  ;DIÂMETRO DE 10-12 CM;15012;AL        ;NORDESTE       ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;14,0
ESTACAS                  ;DE MADEIRA          ;12886;PA        ;NORTE          ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;0,6
ESTACAS                  ;ESTACA DE EUCALIPTO ;15162;SC        ;SUL            ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;20,98
ESTACAS                  ;14 CM DIÂMETRO X 3M ;15158;SC        ;SUL            ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;100,59
ESTACAS                  ;8 CM DIÂMETRO X 2,5 ;15159;SC        ;SUL            ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;24,78
ESTERCO DE CURRAL        ;NÃO INFORMADO       ;4462;BA        ;NORDESTE       ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;0,54
ESTERCO DE CURRAL        ;NÃO INFORMADO       ;4462;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;0,6
ESTERCO DE GADO          ;NÃO INFORMADO       ;13220;BA        ;NORDESTE       ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;0,32
ESTERCO DE GADO          ;NÃO INFORMADO       ;13220;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;0,45
