GESSO AGRICOLA           ;NÃO INFORMADO       ;4548;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;0,19
GESSO AGRICOLA           ;NÃO INFORMADO       ;4548;GOIANÉSIA-GO                                      ;5208608                       ;GO        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;0,31
GESSO AGRICOLA           ;NÃO INFORMADO       ;4548;BALSAS-MA                                         ;2101400                       ;MA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;0,22
GESSO AGRICOLA           ;NÃO INFORMADO       ;4548;PRATA-MG                                          ;3152808                       ;MG        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;0,3
GESSO AGRICOLA           ;NÃO INFORMADO       ;4548;UNAÍ-MG                                           ;3170404                       ;MG        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;0,19
GESSO AGRICOLA           ;NÃO INFORMADO       ;4548;DOURADOS-MS                                       ;5003702                       ;MS        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;0,39
GESSO AGRICOLA           ;NÃO INFORMADO       ;4548;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;0,26
GESSO AGRICOLA           ;NÃO INFORMADO       ;4548;URUÇUÍ-PI                                         ;2211209                       ;PI        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;0,22
GESSO AGRICOLA           ;NÃO INFORMADO       ;4548;PONTA GROSSA-PR                                   ;4119905                       ;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;0,53
GESSO AGRICOLA           ;NÃO INFORMADO       ;4548;SÃO JOSÉ DO RIO PRETO-SP                          ;3549805                       ;SP        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;0,34
GESSO AGRICOLA           ;NÃO INFORMADO       ;4548;TAQUARITUBA-SP                                    ;3553807                       ;SP        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;0,27
GIRASSOL                 ;NÃO INFORMADO       ;4738;ITUMBIARA-GO                                      ;5211503                       ;GO        ;CENTRO-OESTE   ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,0
GIRASSOL                 ;NÃO INFORMADO       ;4738;CAMPO NOVO DO PARECIS-MT                          ;5102637                       ;MT        ;CENTRO-OESTE   ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,0
